Aggregating data for Patches: ['16.5', '16.4', '16.3', '16.2', '16.1'] and Tiers: ['emerald', 'diamond']...
Aggregation complete. Analyzed 10 files.


=== 0 - 15 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
81    blitzcrank           52.21%    85534
82    lillia               52.15%    43882
83    tryndamere           52.14%    36819
84    xayah                52.13%    64723
85    bard                 52.12%    93873
86    gwen                 52.07%    62842
87    lissandra            52.05%    49885
88    xinzhao              52.00%    91394
89    jax                  51.96%   111986
90    gangplank            51.86%    73319
91    shen                 51.83%    56609
92    zed                  51.81%   104807
93    pantheon             51.81%    37244
94    aatrox               51.76%   114875
95    zilean               51.76%    43113
96    poppy                51.74%    25247
97    nasus                51.70%    64176
98    tristana             51.67%    69342
99    missfortune          51.64%   127974
100   soraka               51.63%    83394
101   braum                51.62%   159434
102   tahmkench            51.57%    32796
103   jayce                51.54%    80320
104   maokai               51.52%    27377
105   jarvaniv             51.49%    99885
106   camille              51.46%    41963
107   karthus              51.46%    20509
108   syndra               51.39%    91192
109   darius               51.37%    96066
110   singed               51.36%    39143
111   leblanc              51.26%    65117
112   gragas               51.22%    30325
113   jhin                 51.20%   199427
114   akali                51.19%   118890
115   rammus               51.16%    25961
116   smolder              51.12%   133586
117   kalista              51.00%    15513
118   hecarim              50.98%    62172
119   qiyana               50.87%    40447
120   samira               50.76%    87189
121   evelynn              50.70%    35811
122   talon                50.61%    50707
123   veigar               50.59%    59604
124   taliyah              50.56%    33803
125   masteryi             50.53%    84843
126   quinn                50.45%    15349
127   kaisa                50.32%   301348
128   shaco                50.16%    51462
129   drmundo              50.11%    69854
130   mel                  50.01%    58886
131   riven                49.77%    67084
132   skarner              49.66%     8516
133   graves               49.64%    99377
134   teemo                49.63%    31979
135   zaahen               49.53%    96543
136   vi                   49.45%    84761
137   khazix               49.44%   147155
138   lulu                 49.44%   187914
139   lucian               49.43%   163810
140   yone                 49.42%    87638
141   rell                 49.36%    45634
142   vayne                49.29%   105809
143   rumble               49.15%    41331
144   sylas                49.10%   122408
145   aurora               49.08%    44383
146   nautilus             48.97%   178860
147   kayn                 48.92%    73643
148   viego                48.69%   217704
149   alistar              48.62%    77331
150   cassiopeia           48.57%    20662
151   chogath              48.52%    36648
152   milio                48.34%   125671
153   vladimir             48.33%    47894
154   ksante               48.33%    60114
155   ambessa              48.26%    69370
156   ornn                 48.13%    76716
157   rakan                47.87%    65739
158   orianna              47.76%    84247
159   aphelios             47.49%   176636
160   renata               47.30%    17984
161   annie                47.15%    22421
162   yunara               47.12%   150465
163   galio                47.02%    71342
164   ryze                 46.87%    88030
165   zeri                 46.06%    39794
166   twitch               44.79%    96354
167   rengar               44.17%    61781
168   aurelionsol          43.94%    41603
169   kayle                43.56%    69994
170   azir                 42.88%    35956
171   yuumi                41.82%    93016
172   kassadin             41.77%    74096

=== 25 - 30 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
--------------------------------------------------
1     ziggs                56.47%    51175
2     kogmaw               55.38%    56644
3     singed               54.84%    95462
4     anivia               54.76%   110178
5     urgot                54.62%    91204
6     brand                54.32%    83898
7     malzahar             54.25%   216402
8     vex                  54.17%   104361
9     sona                 54.12%   223498
10    diana                54.10%   297796
11    velkoz               54.02%    83325
12    nunu                 53.96%   104350
13    nilah                53.93%    76120
14    ashe                 53.93%   256110
15    naafiri              53.89%   133498
16    ahri                 53.86%   411148
17    maokai               53.81%    63451
18    jinx                 53.79%   608642
19    braum                53.77%   339972
20    ivern                53.74%    43458
21    rammus               53.72%    63708
22    reksai               53.72%    86027
23    volibear             53.71%   159719
24    twistedfate          53.58%   187886
25    kled                 53.52%    64374
26    xinzhao              53.51%   187769
27    briar                53.46%   163851
28    viktor               53.45%   227681
29    zyra                 53.41%    84042
30    ornn                 53.36%   187728
31    gwen                 53.35%   138801
32    nami                 53.32%   529236
33    olaf                 53.31%    75200
34    sion                 53.29%   160354
35    leona                53.21%   263875
36    ekko                 53.19%   257396
37    shen                 53.16%   128022
38    fiddlesticks         53.16%    91355
39    veigar               53.01%   147502
40    amumu                53.00%    84737
41    malphite             52.93%   225611
42    warwick              52.92%    78203
43    missfortune          52.90%   303801
44    garen                52.88%   217116
45    taric                52.84%    47609
46    sivir                52.82%   272447
47    shyvana              52.82%    41857
48    xerath               52.80%   156080
49    janna                52.78%   154038
50    wukong               52.75%    93683
51    nocturne             52.74%   152627
52    kayle                52.72%   165577
53    zilean               52.71%    99854
54    nasus                52.70%   145200
55    seraphine            52.65%   153327
56    udyr                 52.58%    58145
57    lillia               52.58%   101222
58    sett                 52.53%   193004
59    fizz                 52.53%   147912
60    irelia               52.50%   160723
61    sejuani              52.44%    63890
62    morgana              52.44%   152997
63    drmundo              52.41%   158478
64    zac                  52.40%   123245
65    syndra               52.40%   215936
66    xayah                52.37%   142963
67    yorick               52.35%   119876
68    kassadin             52.32%   165106
69    hwei                 52.32%   106285
70    senna                52.31%   168420
71    thresh               52.30%   476852
72    kennen               52.27%   100025
73    zaahen               52.25%   206870
74    illaoi               52.20%    69224
75    masteryi             52.18%   181411
76    annie                52.18%    52350
77    quinn                52.16%    36140
78    riven                52.15%   146604
79    khazix               52.15%   339502
80    elise                52.12%    87162
81    jarvaniv             52.09%   222257
82    blitzcrank           52.07%   188623
83    milio                52.03%   285235
84    vayne                52.03%   244859
85    soraka               52.01%   182049
86    akshan               51.99%   103602
87    yasuo                51.98%   326772
88    mordekaiser          51.92%   185750
89    smolder              51.92%   346389
90    gangplank            51.90%   175983
91    neeko                51.87%    95264
92    lux                  51.81%   151992
93    jax                  51.77%   236721
94    renekton             51.73%   194774
95    kayn                 51.67%   177828
96    lissandra            51.63%   113876
97    vi                   51.62%   181442
98    samira               51.61%   186363
99    camille              51.61%    90790
100   kaisa                51.60%   647478
101   teemo                51.60%    76600
102   zed                  51.59%   244703
103   heimerdinger         51.55%    30139
104   talon                51.54%   118692
105   caitlyn              51.53%   635505
106   zoe                  51.51%   124318
107   graves               51.49%   220250
108   poppy                51.48%    56893
109   gragas               51.46%    67516
110   aurelionsol          51.42%    99785
111   varus                51.41%   168539
112   bard                 51.41%   217877
113   taliyah              51.40%    73903
114   gnar                 51.36%   137727
115   leesin               51.33%   385098
116   pyke                 51.33%   198799
117   fiora                51.33%   136321
118   chogath              51.30%    89678
119   rakan                51.24%   139500
120   nautilus             51.21%   374671
121   katarina             51.20%   267073
122   qiyana               51.16%    88389
123   jhin                 51.16%   478028
124   tristana             51.14%   150684
125   kindred              51.10%    71055
126   karma                51.08%   342234
127   darius               51.03%   216927
128   aatrox               51.00%   247044
129   tahmkench            50.96%    74942
130   renata               50.93%    40909
131   ezreal               50.92%   530804
132   belveth              50.92%    58167
133   evelynn              50.81%    85284
134   akali                50.81%   264009
135   alistar              50.79%   160947
136   corki                50.70%   118996
137   galio                50.68%   151272
138   rell                 50.64%    96936
139   cassiopeia           50.63%    44830
140   lulu                 50.63%   386822
141   jayce                50.62%   172239
142   lucian               50.62%   355932
143   draven               50.61%   138780
144   rumble               50.55%    91543
145   zeri                 50.53%    84293
146   sylas                50.48%   248098
147   swain                50.46%    99466
148   trundle              50.45%    44434
149   twitch               50.44%   229837
150   aphelios             50.39%   362815
151   shaco                50.30%   132304
152   skarner              50.20%    19058
153   hecarim              50.17%   131803
154   nidalee              50.14%    64709
155   vladimir             50.06%   104183
156   leblanc              50.06%   144505
157   yone                 49.92%   184210
158   ryze                 49.90%   193636
159   viego                49.82%   483284
160   tryndamere           49.76%    78620
161   aurora               49.72%    98082
162   pantheon             49.70%    86808
163   ambessa              49.47%   151056
164   karthus              49.29%    47411
165   rengar               49.08%   142151
166   orianna              48.97%   181174
167   kalista              48.58%    30227
168   yunara               48.43%   316660
169   mel                  47.38%   140566
170   yuumi                47.21%   180527
171   ksante               46.92%   128223
172   azir                 45.53%    77954

=== 30 - 35 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
--------------------------------------------------
1     kayle                59.39%   150225
2     kassadin             58.12%   140291
3     aurelionsol          57.58%    97282
4     ornn                 56.95%   168986
5     nilah                56.51%    62365
6     rammus               56.49%    61425
7     singed               56.39%    89989
8     twitch               56.12%   217829
9     annie                55.89%    50522
10    braum                55.80%   292601
11    veigar               54.79%   142900
12    sona                 54.57%   190790
13    milio                54.48%   254426
14    renata               54.36%    37191
15    missfortune          54.22%   287585
16    teemo                54.22%    79702
17    ivern                54.21%    38100
18    amumu                54.16%    81837
19    taric                54.01%    38627
20    zeri                 53.99%    72597
21    quinn                53.96%    34270
22    khazix               53.89%   317880
